Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 13:10:00,28/06/2016 12:35:00,446.000
WQ_OGM_DOC,16/12/2008 12:48:00,28/06/2016 12:35:00,248.000
WQ_OXY_OXY,28/06/2011 10:56:00,28/06/2016 12:35:00,260.000
WQ_NIT_NIT,20/10/2009 11:50:00,28/06/2016 12:35:00,153.000
WQ_PHS_FRP,20/10/2009 11:50:00,28/06/2016 12:35:00,158.000
WQ_DIAG_TOT_TP,20/10/2009 11:50:00,28/06/2016 12:35:00,158.000
WQ_DIAG_TOT_TKN,20/10/2009 11:50:00,28/06/2016 12:35:00,153.000
TEMP,02/01/2008 13:37:00,28/06/2016 12:35:00,458.000
WQ_DIAG_TOT_TDS,03/01/2008 13:10:00,28/06/2016 12:35:00,446.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 13:37:00,28/06/2016 12:35:00,304.000
WQ_CAR_PH,25/03/2008 12:48:00,28/06/2016 12:35:00,228.000
