Variable Name,Min Date,Max Date,Number of Samples
SAL,03/01/2008 09:10:00,29/06/2016 08:42:00,516.000
WQ_OGM_DOC,04/01/2008 08:37:00,29/06/2016 08:42:00,259.000
WQ_OXY_OXY,28/02/2008 12:32:00,29/06/2016 08:42:00,390.000
WQ_NIT_NIT,04/01/2008 08:37:00,29/06/2016 08:42:00,191.000
WQ_PHS_FRP,04/01/2008 08:37:00,29/06/2016 08:42:00,191.000
WQ_DIAG_TOT_TP,04/01/2008 08:37:00,29/06/2016 08:42:00,191.000
WQ_SIL_RSI,04/01/2008 08:37:00,29/06/2016 08:42:00,113.000
WQ_DIAG_TOT_TKN,04/01/2008 08:37:00,29/06/2016 08:42:00,191.000
TEMP,04/01/2008 08:37:00,29/06/2016 08:42:00,601.000
WQ_DIAG_TOT_TDS,03/01/2008 09:10:00,29/06/2016 08:42:00,516.000
WQ_DIAG_TOT_TURBIDITY,04/01/2008 08:37:00,29/06/2016 08:42:00,406.000
WQ_CAR_PH,04/01/2008 08:37:00,29/06/2016 08:42:00,333.000
