Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 08:05:00,29/06/2016 11:59:00,453.000
WQ_OGM_DOC,17/12/2008 11:16:00,29/06/2016 11:59:00,246.000
WQ_OXY_OXY,24/11/2010 12:26:00,29/06/2016 11:59:00,262.000
WQ_NIT_NIT,21/10/2009 14:28:00,29/06/2016 11:59:00,147.000
WQ_PHS_FRP,21/10/2009 14:28:00,29/06/2016 11:59:00,152.000
WQ_DIAG_TOT_TP,21/10/2009 14:28:00,29/06/2016 11:59:00,152.000
WQ_DIAG_TOT_TKN,21/10/2009 14:28:00,29/06/2016 11:59:00,147.000
TEMP,12/03/2008 14:34:00,29/06/2016 11:59:00,433.000
WQ_DIAG_TOT_TDS,04/01/2008 08:05:00,29/06/2016 11:59:00,453.000
WQ_DIAG_TOT_TURBIDITY,17/12/2008 11:16:00,29/06/2016 11:59:00,280.000
WQ_CAR_PH,25/03/2009 12:07:00,29/06/2016 11:59:00,261.000
