Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,03/01/2008 09:23:00,30/06/2016 09:41:00,434.000
SAL,03/01/2008 09:23:00,30/06/2016 09:41:00,620.000
WQ_OGM_DOC,03/01/2008 09:23:00,30/06/2016 09:41:00,516.000
WQ_OXY_OXY,01/07/2010 09:25:00,30/06/2016 09:39:00,285.000
WQ_NIT_NIT,24/07/2008 09:18:00,18/06/2015 08:14:00,144.000
WQ_PHS_FRP,03/01/2008 09:23:00,30/06/2016 09:41:00,515.000
WQ_DIAG_TOT_TP,03/01/2008 09:23:00,30/06/2016 09:41:00,515.000
WQ_SIL_RSI,03/01/2008 09:23:00,30/06/2016 09:41:00,436.000
WQ_DIAG_TOT_TKN,03/01/2008 09:23:00,30/06/2016 09:41:00,501.000
TEMP,03/01/2008 09:23:00,30/06/2016 09:41:00,606.000
WQ_DIAG_TOT_TDS,03/01/2008 09:23:00,30/06/2016 09:41:00,620.000
WQ_DIAG_TOT_TURBIDITY,03/01/2008 09:23:00,30/06/2016 09:41:00,452.000
WQ_CAR_PH,03/01/2008 09:23:00,30/06/2016 09:41:00,575.000
