Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2008 08:41:00,28/06/2016 11:28:00,769.000
WQ_OGM_DOC,02/01/2008 08:41:00,28/06/2016 11:27:00,453.000
WQ_OXY_OXY,27/02/2008 11:18:00,28/06/2016 11:28:00,389.000
WQ_NIT_NIT,29/06/2011 11:15:00,25/06/2013 09:54:00,27.000
WQ_PHS_FRP,02/01/2008 08:41:00,28/06/2016 11:27:00,453.000
WQ_DIAG_TOT_TP,02/01/2008 08:41:00,28/06/2016 11:27:00,453.000
WQ_SIL_RSI,02/01/2008 08:41:00,28/06/2016 11:27:00,443.000
WQ_DIAG_TOT_TKN,02/01/2008 08:41:00,28/06/2016 11:27:00,444.000
TEMP,02/01/2008 08:41:00,28/06/2016 11:27:00,854.000
WQ_DIAG_TOT_TDS,02/01/2008 08:41:00,28/06/2016 11:28:00,755.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 08:41:00,28/06/2016 11:27:00,453.000
WQ_CAR_PH,02/01/2008 08:41:00,28/06/2016 11:28:00,604.000
