Variable Name,Min Date,Max Date,Number of Samples
SAL,02/01/2008 09:44:00,30/06/2016 10:02:00,819.000
WQ_OGM_DOC,16/12/2008 09:33:00,30/06/2016 10:02:00,343.000
WQ_OXY_OXY,01/07/2010 10:03:00,30/06/2016 10:02:00,436.000
WQ_NIT_NIT,22/10/2009 09:16:00,30/06/2016 10:02:00,214.000
WQ_PHS_FRP,22/10/2009 09:16:00,30/06/2016 10:02:00,224.000
WQ_DIAG_TOT_TP,22/10/2009 09:16:00,30/06/2016 10:02:00,224.000
WQ_SIL_RSI,02/01/2008 09:44:00,30/06/2016 10:02:00,152.000
WQ_DIAG_TOT_TKN,22/10/2009 09:16:00,30/06/2016 10:02:00,214.000
TEMP,02/01/2008 09:44:00,30/06/2016 10:02:00,796.000
WQ_DIAG_TOT_TDS,02/01/2008 09:44:00,30/06/2016 10:02:00,819.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 09:44:00,30/06/2016 10:02:00,382.000
WQ_CAR_PH,02/01/2008 09:44:00,30/06/2016 10:02:00,390.000
