Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,03/01/2008 09:06:00,29/06/2016 08:05:00,618.000
SAL,03/01/2008 07:15:00,29/06/2016 08:05:00,610.000
WQ_OGM_DOC,03/01/2008 09:06:00,29/06/2016 08:05:00,695.000
WQ_OXY_OXY,01/07/2010 07:13:00,29/06/2016 08:04:00,303.000
WQ_NIT_NIT,30/06/2011 08:45:00,15/06/2016 06:53:00,66.000
WQ_PHS_FRP,03/01/2008 09:06:00,29/06/2016 08:05:00,671.000
WQ_DIAG_TOT_TP,03/01/2008 09:06:00,29/06/2016 08:05:00,670.000
WQ_SIL_RSI,03/01/2008 09:06:00,29/06/2016 08:05:00,647.000
WQ_DIAG_TOT_TKN,03/01/2008 09:06:00,29/06/2016 08:05:00,659.000
TEMP,03/01/2008 09:12:00,29/06/2016 08:05:00,579.000
WQ_DIAG_TOT_TDS,03/01/2008 07:15:00,29/06/2016 08:05:00,609.000
WQ_DIAG_TOT_TURBIDITY,03/01/2008 09:12:00,29/06/2016 08:05:00,451.000
WQ_CAR_PH,03/01/2008 09:12:00,29/06/2016 08:05:00,551.000
