Variable Name,Min Date,Max Date,Number of Samples
SAL,04/01/2008 08:30:00,29/06/2016 10:33:00,451.000
WQ_OGM_DOC,02/07/2008 10:02:00,29/06/2016 10:33:00,195.000
WQ_OXY_OXY,24/11/2010 10:40:00,29/06/2016 10:33:00,261.000
WQ_NIT_NIT,02/07/2008 10:02:00,26/06/2013 11:01:00,66.000
WQ_PHS_FRP,02/07/2008 10:02:00,26/06/2013 11:01:00,71.000
WQ_DIAG_TOT_TP,02/07/2008 10:02:00,26/06/2013 11:01:00,70.000
WQ_DIAG_TOT_TKN,02/07/2008 10:02:00,26/06/2013 11:01:00,66.000
TEMP,02/01/2008 10:23:00,29/06/2016 10:33:00,457.000
WQ_DIAG_TOT_TDS,04/01/2008 08:30:00,29/06/2016 10:33:00,451.000
WQ_DIAG_TOT_TURBIDITY,02/01/2008 10:23:00,29/06/2016 10:33:00,228.000
WQ_CAR_PH,26/03/2008 11:02:00,29/06/2016 10:33:00,261.000
