Variable Name,Min Date,Max Date,Number of Samples
SAL,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_OGM_DOC,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_OXY_OXY,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_NIT_NIT,12/01/2016 12:27:00,27/06/2017 13:02:00,39.000
WQ_PHS_FRP,12/01/2016 12:27:00,27/06/2017 13:02:00,39.000
WQ_DIAG_TOT_TP,12/01/2016 12:27:00,27/06/2017 13:02:00,39.000
WQ_DIAG_TOT_TKN,12/01/2016 12:27:00,27/06/2017 13:02:00,39.000
TEMP,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_DIAG_TOT_TDS,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_DIAG_TOT_TURBIDITY,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
WQ_CAR_PH,05/01/2016 11:38:00,27/06/2017 13:02:00,78.000
