Variable Name,Min Date,Max Date,Number of Samples
SAL,06/01/2016 09:34:00,28/06/2017 10:30:00,78.000
WQ_OGM_DOC,06/01/2016 09:34:00,28/06/2017 10:30:00,78.000
WQ_OXY_OXY,06/01/2016 09:34:00,28/06/2017 10:30:00,87.000
WQ_NIT_NIT,06/01/2016 09:34:00,28/06/2017 10:30:00,58.000
WQ_PHS_FRP,06/01/2016 09:34:00,28/06/2017 10:30:00,58.000
WQ_DIAG_TOT_TP,06/01/2016 09:34:00,28/06/2017 10:30:00,58.000
WQ_SIL_RSI,13/01/2016 09:33:00,28/06/2017 10:30:00,20.000
WQ_DIAG_TOT_TKN,06/01/2016 09:34:00,28/06/2017 10:30:00,58.000
TEMP,06/01/2016 09:34:00,28/06/2017 10:30:00,88.000
WQ_DIAG_TOT_TDS,06/01/2016 09:34:00,28/06/2017 10:30:00,78.000
WQ_DIAG_TOT_TURBIDITY,06/01/2016 09:34:00,28/06/2017 10:30:00,78.000
WQ_CAR_PH,06/01/2016 09:34:00,28/06/2017 10:30:00,78.000
