Variable Name,Min Date,Max Date,Number of Samples
SAL,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_OGM_DOC,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_OXY_OXY,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_NIT_NIT,13/01/2016 12:01:00,28/06/2017 11:54:00,39.000
WQ_PHS_FRP,13/01/2016 12:01:00,28/06/2017 11:54:00,39.000
WQ_DIAG_TOT_TP,13/01/2016 12:01:00,28/06/2017 11:54:00,39.000
WQ_DIAG_TOT_TKN,13/01/2016 12:01:00,28/06/2017 11:54:00,39.000
TEMP,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_DIAG_TOT_TDS,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_DIAG_TOT_TURBIDITY,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
WQ_CAR_PH,06/01/2016 12:52:00,28/06/2017 11:54:00,78.000
