Variable Name,Min Date,Max Date,Number of Samples
SAL,05/01/2016 11:03:00,27/06/2017 10:42:00,93.000
WQ_OGM_DOC,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
WQ_OXY_OXY,05/01/2016 11:03:00,27/06/2017 10:40:00,88.000
WQ_PHS_FRP,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
WQ_DIAG_TOT_TP,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
WQ_SIL_RSI,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
WQ_DIAG_TOT_TKN,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
TEMP,05/01/2016 11:03:00,27/06/2017 10:42:00,88.000
WQ_DIAG_TOT_TDS,05/01/2016 11:03:00,27/06/2017 10:42:00,93.000
WQ_DIAG_TOT_TURBIDITY,05/01/2016 11:03:00,27/06/2017 10:42:00,78.000
WQ_CAR_PH,05/01/2016 11:03:00,27/06/2017 10:42:00,93.000
