Variable Name,Min Date,Max Date,Number of Samples
SAL,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_OGM_DOC,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_OXY_OXY,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_NIT_NIT,07/01/2016 09:44:00,29/06/2017 09:38:00,58.000
WQ_PHS_FRP,07/01/2016 09:44:00,29/06/2017 09:38:00,58.000
WQ_DIAG_TOT_TP,07/01/2016 09:44:00,29/06/2017 09:38:00,58.000
WQ_SIL_RSI,14/01/2016 10:15:00,29/06/2017 09:38:00,20.000
WQ_DIAG_TOT_TKN,07/01/2016 09:44:00,29/06/2017 09:38:00,58.000
TEMP,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_DIAG_TOT_TDS,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_DIAG_TOT_TURBIDITY,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
WQ_CAR_PH,07/01/2016 09:44:00,29/06/2017 09:38:00,78.000
