Variable Name,Min Date,Max Date,Number of Samples
SAL,06/01/2016 09:08:00,28/06/2017 09:44:00,78.000
WQ_OGM_DOC,13/01/2016 09:09:00,28/06/2017 09:43:00,39.000
WQ_OXY_OXY,06/01/2016 09:08:00,28/06/2017 09:43:00,78.000
WQ_NIT_NIT,13/01/2016 09:09:00,28/06/2017 09:43:00,39.000
WQ_PHS_FRP,13/01/2016 09:09:00,28/06/2017 09:43:00,39.000
WQ_DIAG_TOT_TP,13/01/2016 09:09:00,28/06/2017 09:43:00,39.000
WQ_DIAG_TOT_TKN,13/01/2016 09:09:00,28/06/2017 09:43:00,39.000
TEMP,06/01/2016 09:08:00,28/06/2017 09:44:00,80.000
WQ_DIAG_TOT_TDS,06/01/2016 09:08:00,28/06/2017 09:44:00,78.000
WQ_DIAG_TOT_TURBIDITY,13/01/2016 09:09:00,28/06/2017 09:44:00,72.000
WQ_CAR_PH,06/01/2016 09:08:00,28/06/2017 09:44:00,91.000
