Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
SAL,05/01/2017 08:19:00,31/05/2018 09:19:00,91.000
WQ_OGM_DOC,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_OXY_OXY,05/01/2017 08:18:00,31/05/2018 09:19:00,73.000
WQ_PHS_FRP,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_DIAG_TOT_TP,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_SIL_RSI,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_DIAG_TOT_TKN,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
TEMP,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_DIAG_TOT_TDS,05/01/2017 08:19:00,31/05/2018 09:19:00,91.000
WQ_DIAG_TOT_TURBIDITY,05/01/2017 08:19:00,31/05/2018 09:19:00,73.000
WQ_CAR_PH,05/01/2017 08:18:00,31/05/2018 09:19:00,128.000
