Variable Name,Min Date,Max Date,Number of Samples
WQ_DIAG_PHY_TCHLA,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
SAL,04/01/2017 07:05:00,30/05/2018 05:59:00,92.000
WQ_OGM_DOC,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_OXY_OXY,04/01/2017 07:04:00,30/05/2018 05:59:00,74.000
WQ_PHS_FRP,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_DIAG_TOT_TP,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_SIL_RSI,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_DIAG_TOT_TKN,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
TEMP,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_DIAG_TOT_TDS,04/01/2017 07:05:00,30/05/2018 05:59:00,92.000
WQ_DIAG_TOT_TURBIDITY,04/01/2017 07:05:00,30/05/2018 05:59:00,74.000
WQ_CAR_PH,04/01/2017 07:05:00,30/05/2018 05:59:00,92.000
