Date,Discharge,EC,Temp
11/08/2000,0.001,7491,13.57
12/08/2000,0.001,7457,13.08
13/08/2000,0.001,7469,13.58
14/08/2000,0.001,7416,12.62
15/08/2000,0.001,7459,12.5
16/08/2000,0.001,7429,12.44
17/08/2000,0.001,7438,13.17
18/08/2000,0.001,7407,12.47
19/08/2000,0.001,7440,12.46
20/08/2000,0.002,7461,12.41
21/08/2000,0.001,7560,12.69
22/08/2000,0.002,7489,12.74
23/08/2000,0.002,7465,12.71
24/08/2000,0.002,7484,12.64
25/08/2000,0.002,7517,12.66
26/08/2000,0.002,7465,12.58
27/08/2000,0.003,7471,12.59
28/08/2000,0.003,7486,12.55
29/08/2000,0.003,7525,13.77
30/08/2000,0.006,7491,13.64
31/08/2000,0.108,8380,13.22
1/09/2000,0.305,10404,13.79
2/09/2000,0.315,10308,12.9
3/09/2000,0.273,10173,12.85
4/09/2000,0.33,10239,12.86
5/09/2000,0.302,10523,13.65
6/09/2000,0.353,10320,13.03
7/09/2000,0.35,10438,13.08
8/09/2000,0.334,10323,13.1
9/09/2000,0.342,10228,13.55
10/09/2000,0.421,10263,13.86
11/09/2000,0.426,10511,14.49
12/09/2000,0.462,10270,13.52
13/09/2000,0.517,10367,13.09
14/09/2000,0.508,10905,14.64
15/09/2000,0.542,11192,15.62
16/09/2000,0.567,11487,16.46
17/09/2000,0.572,11306,15.69
18/09/2000,0.564,11197,15.13
19/09/2000,0.555,11393,15.71
20/09/2000,0.566,11393,15.57
21/09/2000,0.587,11389,15.51
22/09/2000,0.587,11554,16
23/09/2000,0.592,11894,17.28
24/09/2000,0.584,11932,17.41
25/09/2000,0.605,11758,16.52
26/09/2000,0.597,11812,16.67
27/09/2000,0.605,11919,17.18
28/09/2000,0.595,11886,17.21
29/09/2000,0.588,11900,17.26
30/09/2000,0.539,11765,16.83
1/10/2000,0.485,11410,15.43
2/10/2000,0.57,10823,13.39
3/10/2000,0.561,11152,14.63
4/10/2000,0.569,11668,16.7
5/10/2000,0.544,11888,17.68
6/10/2000,0.508,12134,18.43
7/10/2000,0.536,12229,18.41
8/10/2000,0.554,11892,17.77
9/10/2000,0.555,11785,17.49
10/10/2000,0.534,11702,17.16
11/10/2000,0.523,11700,16.69
12/10/2000,0.525,11733,16.87
13/10/2000,0.479,11502,16.01
14/10/2000,0.498,11307,15.2
15/10/2000,0.467,11123,14.42
16/10/2000,0.511,11575,15.94
17/10/2000,0.506,11991,16.95
18/10/2000,0.488,11522,15.25
19/10/2000,0.552,11274,15.55
20/10/2000,0.66,10598,14.81
21/10/2000,0.634,11189,16.69
22/10/2000,0.638,11795,18.89
23/10/2000,0.651,12248,20.34
24/10/2000,0.664,12188,19.88
25/10/2000,0.707,11768,18.13
26/10/2000,0.693,11512,16.94
27/10/2000,0.664,11556,17.01
28/10/2000,0.669,11570,16.72
29/10/2000,0.676,11719,17.11
30/10/2000,0.656,11886,17.54
31/10/2000,0.641,12159,18.47
1/11/2000,0.607,12101,18.56
2/11/2000,0.585,12248,19.32
3/11/2000,0.584,12243,19.17
4/11/2000,0.601,12728,20.6
5/11/2000,0.601,12923,21
6/11/2000,0.6,12721,20.1
7/11/2000,0.582,12645,19.48
8/11/2000,0.542,13003,20.06
9/11/2000,0.493,12526,18.17
10/11/2000,0.537,12738,19.05
11/11/2000,0.55,12957,19.93
12/11/2000,0.541,12527,18.66
13/11/2000,0.539,12496,18.71
14/11/2000,0.535,12964,20.48
15/11/2000,0.514,13252,21.42
16/11/2000,0.48,13838,23.19
17/11/2000,0.469,14232,24.43
18/11/2000,0.455,14618,25.61
19/11/2000,0.432,15173,27.01
20/11/2000,0.434,15268,27.15
21/11/2000,0.467,14168,22.9
22/11/2000,0.449,13734,20.87
23/11/2000,0.394,14053,20.99
24/11/2000,0.392,14401,21.72
25/11/2000,0.368,14591,22.18
26/11/2000,0.344,15244,24.3
27/11/2000,0.339,15784,25.9
28/11/2000,0.31,16015,26.34
29/11/2000,0.3,15771,25.34
30/11/2000,0.297,15717,23.24
1/12/2000,0.281,15653,22.32
2/12/2000,0.276,15514,21.19
3/12/2000,0.245,15764,21.82
4/12/2000,0.258,16386,23.59
5/12/2000,0.241,15800,23.71
6/12/2000,0.243,16926,24.28
7/12/2000,0.236,15209,21.68
8/12/2000,0.222,15122,21.58
9/12/2000,0.204,16313,21.39
10/12/2000,0.184,16914,22.36
11/12/2000,0.167,16946,22.54
12/12/2000,0.165,17243,24.14
13/12/2000,0.153,17510,23.97
14/12/2000,0.153,17448,23.5
15/12/2000,0.15,17174,22.04
16/12/2000,0.129,17173,21.63
17/12/2000,0.054,17782,23.19
18/12/2000,0.008,17661,23.91
19/12/2000,0.006,16091,24.06
20/12/2000,0.005,15378,24.31
21/12/2000,0.004,14883,24.88
22/12/2000,0.003,14365,24.22
23/12/2000,0.003,13633,23.31
24/12/2000,0.003,13357,23.17
25/12/2000,0.003,13096,23.3
26/12/2000,0.003,12602,21.65
27/12/2000,0.003,12258,20.83
28/12/2000,0.003,11469,18.81
29/12/2000,0.003,11268,18.86
30/12/2000,0.003,11409,19.49
31/12/2000,0.002,11719,21.45
1/01/2001,0.002,11845,22.33
2/01/2001,0.002,12257,24.53
3/01/2001,0.001,12584,25.82
4/01/2001,0.002,12771,26.21
5/01/2001,0.001,12561,25.25
6/01/2001,0.001,12130,23.27
7/01/2001,0.002,11848,21.85
8/01/2001,0.001,12110,23.21
9/01/2001,0.001,12217,23.74
10/01/2001,0.019,13888,25.44
11/01/2001,0.003,18382,26.41
12/01/2001,0.002,19876,25.46
13/01/2001,0.002,19768,22.79
14/01/2001,0.001,20634,25.41
15/01/2001,0.001,20875,27.51
16/01/2001,0.001,19471,24.26
17/01/2001,0.001,18089,20.92
18/01/2001,0.001,17640,21.22
19/01/2001,0.001,17112,21.21
20/01/2001,0.001,16833,23.75
21/01/2001,0.001,16740,24.28
22/01/2001,0.001,15768,21.46
23/01/2001,0.001,15600,22.64
24/01/2001,0.001,15295,23.98
25/01/2001,0.001,14983,24.39
26/01/2001,0.001,14952,27.49
27/01/2001,0.001,14535,26.92
28/01/2001,0.001,13871,24.31
29/01/2001,0.001,13641,23.38
30/01/2001,0.001,13358,22.99
31/01/2001,0.001,12759,21.66
1/02/2001,0.001,12333,21.16
2/02/2001,0.001,12817,23.75
3/02/2001,0.001,12983,25.45
